ID,Title,Link,Source
2024-12-04-oregonlive-most-expensive,PPS Floats Scaled Back Costs to Build What Could Have Been 'the most expensive high schools in the US',https://www.oregonlive.com/education/2024/12/portland-public-schools-floats-scaled-back-costs-to-build-what-could-have-been-the-most-expensive-high-schools-in-the-united-states.html,Oregon Live
2024-12-04-engagement-pause,Pause on Community Engagement Meetings,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/PPS%20msg%20about%20Bond%20PAuse%2012-4-24.pdf,PPS
2024-12-03-board-regular-meeting-video,School Board Regular Meeting: 2025 Bond Video,https://www.youtube.com/watch?v=3bkoRIhNqFY&t=5920s,PPS
2024-12-03-board-regular-meeting-minutes,School Board Regular Meeting: 2025 Bond Minutes,Download,PPS
2024-12-02-improvement-oversight-committee-video,School Board Facilities Improvement Meeting: 2025 Bond Video,https://www.youtube.com/watch?v=hpR_gcyPy9A&t=1310s,PPS
2024-12-02-improvement-oversight-committee-presentation,School Board Facilities Improvement Meeting: 2025 Bond Presentation,Download,PPS
2024-12-02-improvement-oversight-committee-minutes,School Board Facilities Improvement Meeting: 2025 Bond Minutes,Download,PPS
2024-12-02-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=DOH3fxdVXRo,City of Portland
2024-12-02-historic-landmarks-summary,Historic Landmarks Commission: Summary Memo,Download,City of Portland
2024-11-19-board-special-meeting-video,School Board Special Meeting: October Enrollment Update Video,https://www.youtube.com/watch?v=dCKblFansDY&t=5860s,PPS
2024-11-19-board-special-meeting-minutes,School Board Special Meeting: October Enrollment Update Minutes,Download,PPS
2024-11-14-conceptual-walk-through-video,Jefferson Conceptual Walk Through,https://www.youtube.com/watch?v=lcELUPokMSg,PPS
2024-11-06-koin-proposed-bond,Parents Advocate for Overdue School Upgrades with Proposed $1.5 Billion Bond,https://www.koin.com/news/portland/parents-advocate-for-overdue-school-upgrades-with-proposed-1-5-billion-bond/,KOIN
2024-11-06-improvement-oversight-committee-video,School Board Facilities Improvement Meeting: Physical Facility Video,https://www.youtube.com/watch?v=zlhaDeY6ASo&t=2255s,PPS
2024-11-06-improvement-oversight-committee-minutes,School Board Facilities Improvement Meeting: Physical Facility Minutes,Download,PPS
2024-10-30-community-design-presentation,Community Design Workshop #4: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/CDW%204_All%20Boards%20Compressed.pdf,PPS
2024-10-23-bond-accountability-committee-video,Bond Accountability Committee: Video,https://www.youtube.com/watch?v=zfx73U8RBD8&t=480s,PPS
2024-10-23-bond-accountability-committee-presentation,Bond Accountability Committee: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/BAC%20Presentation_Q4%202024_FINAL.pdf#page8,PPS
2024-10-21-koin-await-renovation,We just want the same': 3 PPS Schools Await Renovation,https://www.koin.com/news/education/we-just-want-the-same-3-pps-schools-await-renovation/,KOIN
2024-10-21-improvement-oversight-committee-presentation,School Board Facilities Improvement Meeting: Presentation,Download,PPS
2024-10-21-improvement-oversight-committee-minutes,School Board Facilities Improvement Meeting: Minutes,Download,PPS
2024-10-21-board-facilities-improvement-video,School Board Facilities Improvement Meeting: Video,https://www.youtube.com/watch?v=4nKXb1MRx44&t=60s,PPS
2024-10-08-board-regular-meeting-video,School Board Regular Meeting: 2025 Bond Discussion Video,https://www.youtube.com/watch?v=TudVWTsHAWI&t=7950s,PPS
2024-10-08-board-regular-meeting-minutes,School Board Regular Meeting: 2025 Bond Discussion Minutes,Download,PPS
2024-09-30-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jeff%20Community%20Update%20Sept%202024%20FINAL.pdf,PPS
2024-09-11-finance-commerce-century-old-building,Massive High School to Replace Century-Old Building in Portland,https://finance-commerce.com/2024/09/massive-high-school-to-replace-century-old-building-in-portland/,Finance & Commerce
2024-09-09-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=UnPeTTMre5k,City of Portland
2024-09-09-historic-landmarks-summary,Historic Landmarks Commission: Summary Memo,Download,City of Portland
2024-08-14-community-design-summary,Community Design Workshop #2: Summary,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20CDW%202%20-%20Summary%20Document.pdf,PPS
2024-08-14-community-design-presentation,Community Design Workshop #2: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/24-0814_JHS%20CDW%202%20All%20Boards.pdf,PPS
2024-08-06-board-regular-meeting-video,School Board Regular Meeting: Next Steps Board Meeting Topics Video,https://www.youtube.com/watch?v=W47SpqEKavs&t=10070s,PPS
2024-08-06-board-regular-meeting-minutes,School Board Regular Meeting: Next Steps Board Meeting Topics Minutes,Download,PPS
2024-07-24-bond-accountability-committee-video,Bond Accountability Committee: Video,https://www.youtube.com/watch/4HXGGoMUBu4?t=4065s,PPS
2024-07-24-bond-accountability-committee-presentation,Bond Accountability Committee: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/BAC%20Meeting%20Presentation_FINAL_2024.07.24.pdf#page40,PPS
2024-07-17-community-design-summary,Community Design Workshop #1: Summary,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20CDW%201%20-%20Summary%20Document%207-17-24%20.pdf,PPS
2024-07-17-community-design-presentation,Community Design Workshop #1: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS_CDW%201_All%20Boards_07-17-24.pdf,PPS
2024-06-29-oregonlive-wish-list,PPS' Construction Bond Wish List Nears $3 Billion,https://www.oregonlive.com/education/2024/06/portland-public-schools-construction-bond-wish-list-nears-3-billion.html,Oregon Live
2024-06-25-board-work-session-video,School Board Work Session: Discussion Bond Video,https://www.youtube.com/watch?v=qrM7i7ZywMc&t=5480s,PPS
2024-06-25-board-work-session,School Board Work Session: Bond Timing Minutes,Download,PPS
2024-06-21-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20Mod%20Project%20Update%20June%202024%20FINAL.pdf,PPS
2024-06-11-tax-supervising-minutes,School Board Tax Supervising Meeting: Minutes,https://www.tsccmultco.com/wp-content/uploads/PPS-FY-25-Budget-Hearing-Minutes.pdf#page8,Multnomah County
2024-06-11-board-tax-supervising-video,School Board Tax Supervising Meeting: Video,https://www.youtube.com/watch?v=fesP_dzXgns&t=3526s,Multnomah County
2024-05-29-bond-accountability-committee-video,Bond Accountability Committee: Video,https://www.youtube.com/watch?v=D3jZh41p_NM&t=780s,PPS
2024-05-06-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20Comms%20Update%20MAY_FINAL_2024-05-6.pdf,PPS
2024-04-24-community-update,Community Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2024-04-25_Community%20Meeting%20Update_FINAL.pdf,PPS
2024-04-24-community-engagement,Community Engagement Plan,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20Community%20Engagement%20-%20revised.pdf,PPS
2024-04-17-board-facilities-and-operations-video,School Board Facilities and Operations Meeting: Video,https://www.youtube.com/watch?v=p9oxpyGrwEg&t=540s,PPS
2024-04-12-kgw-high-cost,PPS Plans Rebuild Jefferson High Cost,https://www.kgw.com/article/news/education/portland-public-schools-plans-rebuild-jefferson-high-cost/283-7f7b6613-e45c-451f-81c5-3fa539dde7d2,KGW
2024-04-09-opb-costs-increase,Portland Jefferson High School Rebuild Costs Increase,https://www.opb.org/article/2024/04/09/portland-jefferson-high-school-rebuild-costs-increase/,OPB
2024-04-02-board-regular-meeting-video,School Board Regular Meeting: Video,https://www.youtube.com/watch?v=5jXrUYzr5-8&t=5520s,PPS
2024-03-11-visitahc-everything-new,Everything Will Be New at Jefferson High,https://visitahc.org/blog/everything-will-be-new-at-jefferson-high,Architectural Heritage Center
2024-02-28-board-facilities-and-operations-video,School Board Facilities and Operations Meeting: Video,https://www.youtube.com/watch?v=5yfPx3KN8Gs&t=3840s,PPS
2024-02-26-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=rWhsMrJ9Z2M,City of Portland
2024-02-20-board-special-meeting-video,School Board Special Meeting: Video,https://www.youtube.com/watch?v=vlO5r9wxzfk&t=1560s,PPS
2024-02-15-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20HS%20Mod_%20Project%20Update%20_%20Feb%202024%20FINAL.pdf,PPS
2024-01-24-board-facilities-and-operations-video,School Board Facilities and Operations Meeting: Video,https://www.youtube.com/watch?v=_RwvwollElI&t=3540s,PPS
2024-01-23-board-special-meeting-video,School Board Special Meeting: Jefferson Modernization Update Video,https://www.youtube.com/watch?v=HyRMM81cm6o&t=4140s,PPS
2024-01-17-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20Project%202024%20update%20FINAL%201_1-17-24.pdf,PPS
2023-12-31-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20Modernization%20Project%20Update%20Dec%202023%20WEB%20FINAL.pdf,PPS
2023-12-12-board-regular-meeting-video,School Board Regular Meeting: Reassessment of the Modernization Design of Jefferson Video,https://www.youtube.com/watch?v=5-QHJh3fgZI&t=3960s,PPS
2023-11-29-bond-accountability-committee-video,Bond Accountability Committee: Video,https://www.youtube.com/watch?v=cvCpyG0t4Zg&t=2880s,PPS
2023-11-28-board-special-meeting-video,School Board Special Meeting: Video,https://www.youtube.com/watch?v=GyRSVJekvxA&t=900s,PPS
2023-11-20-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=JIRD6YRoOP8,City of Portland
2023-11-07-opb-avoid-relocation,PPS Signals Willingness to Let Jefferson High Students Avoid Relocation During School Reconstruction,https://www.opb.org/article/2023/11/07/northeast-portland-high-school-oregon-jefferson-relocate-renovate-education-albina/,OPB
2023-10-10-board-regular-meeting-video,School Board Regular Meeting: Video,https://www.youtube.com/watch?v=GXMxjrOH8AY&t=1020s,PPS
2023-09-20-board-facilities-and-operations-video,School Board Facilities and Operations Meeting: Video,https://www.youtube.com/watch?v=v16C-mWJDVI&t=25s,PPS
2023-09-08-opb-pushes-back,Jefferson High School Community Pushes Back Against Portland Public's Plan to Relocate,https://www.opb.org/article/2023/09/08/jefferson-high-school-portland-public-school-schools-renovation/,OPB
2023-09-06-wweek-low-enrollment,Is a Contentious Remodel a Chance to Boost Jefferson High School's Low Enrollment?,https://www.wweek.com/news/2023/09/06/is-a-contentious-remodel-a-chance-to-boost-jefferson-high-schools-low-enrollment/,Willamette Week
2023-09-05-board-regular-meeting-video,School Board Regular Meeting: Video,https://www.youtube.com/watch?v=1vaub-OTYFQ&t=6840s,PPS
2023-09-02-wweek-will-travel,"A College Can't be Used as a School, So Jefferson High Students Will Travel 11 Miles",https://www.wweek.com/news/schools/2023/09/02/a-college-cant-be-used-as-a-school-so-jefferson-high-students-will-travel-11-miles/,Willamette Week
2023-08-25-opb-meets-opposition,Plans to Relocate Jefferson High School Students Meets Opposition from Parents,https://www.opb.org/article/2023/08/25/jefferson-high-school-modernization-plan-students/,OPB
2023-08-23-modernization-update-video,Modernization Project Update Meeting: Video,https://www.youtube.com/watch?v=E3sKvvC4iwQ&t=420s,PPS
